age,weight(kg),height(cm),income_lakh_per_annum,smoker,city,occupation,insurance_premium_category
25,68.5,170.2,6.5,False,Ahmedabad,Engineer,Low
98,75.0,165.4,12.0,True,Mumbai,Doctor,High
45,82.3,172.1,18.5,False,Delhi,Manager,Medium
29,60.2,158.9,4.8,False,Pune,Teacher,Low
82,90.1,175.6,22.0,True,Bangalore,Business,High
34,72.5,168.3,10.5,False,Chennai,Engineer,Medium
41,80.0,169.0,15.0,True,Kolkata,Lawyer,High
27,65.3,171.5,5.5,False,Jaipur,Designer,Low
38,78.6,167.2,13.5,False,Hyderabad,IT Specialist,Medium
50,85.4,173.8,20.0,True,Surat,Trader,High
23,55.0,160.1,3.2,False,Indore,Student,Low
52,74.8,169.5,11.2,True,Nagpur,Engineer,Medium
77,88.9,174.2,17.5,False,Bhopal,Manager,High
31,69.7,166.4,9.8,False,Lucknow,Teacher,Medium
44,83.2,172.8,16.3,True,Kanpur,Doctor,High
26,62.1,162.0,5.0,False,Patna,Clerk,Low
39,79.5,170.0,14.1,True,Agra,Lawyer,High
53,91.0,176.5,21.8,False,Varanasi,Business,High
28,66.4,168.9,6.2,False,Amritsar,Engineer,Low
35,73.3,167.7,10.0,True,Ranchi,Manager,Medium
42,81.2,171.3,15.7,False,Guwahati,Teacher,Medium
30,70.0,165.9,8.9,False,Chandigarh,Designer,Low
47,87.5,173.0,18.0,True,Noida,IT Specialist,High
24,58.6,161.2,4.0,False,Ghaziabad,Student,Low
37,76.8,169.8,12.7,False,Faridabad,Engineer,Medium
49,89.3,175.0,19.5,True,Meerut,Business,High
33,71.4,168.0,9.5,False,Raipur,Teacher,Medium
40,82.7,170.5,14.8,True,Jodhpur,Manager,High
51,90.8,176.0,21.0,False,Udaipur,Trader,High
22,54.2,159.8,3.5,False,Dehradun,Student,Low
25,68.0,170.0,6.8,False,Shimla,Clerk,Low
34,72.0,168.0,10.2,True,Mysore,Engineer,Medium
46,85.5,174.5,17.2,False,Mangalore,Doctor,High
29,61.5,163.0,5.6,False,Coimbatore,Teacher,Low
38,78.0,169.2,13.8,True,Madurai,Lawyer,High
87,92.0,177.2,22.5,True,Tiruchirappalli,Business,High
31,69.0,166.0,9.2,False,Vijayawada,Designer,Medium
44,84.0,173.5,16.8,True,Visakhapatnam,Manager,High
27,64.0,171.0,5.3,False,Bhubaneswar,Engineer,Low
56,75.5,169.5,11.5,False,Cuttack,Teacher,Medium
48,88.0,175.0,18.2,True,Srinagar,Trader,High
23,56.0,160.5,3.8,False,Jammu,Student,Low
35,73.0,167.8,10.8,True,Panaji,Engineer,Medium
41,80.5,170.3,14.9,False,Imphal,Manager,Medium
50,86.7,174.0,19.8,True,Aizawl,Business,High
28,67.0,168.5,6.4,False,Kohima,Clerk,Low
39,79.8,170.8,14.0,True,Itanagar,Lawyer,High
53,91.5,176.8,22.2,False,Gangtok,Trader,High
30,70.5,166.2,8.7,False,Shillong,Designer,Low
47,87.0,173.3,17.9,True,Silchar,Manager,High
24,59.0,161.0,4.2,False,Dibrugarh,Student,Low
37,77.2,169.6,12.9,False,Tinsukia,Engineer,Medium
49,89.8,175.3,19.3,True,Tezpur,Business,High
33,71.8,168.2,9.7,False,Nanded,Teacher,Medium
40,83.0,170.7,15.1,True,Aurangabad,Manager,High
51,90.5,176.1,21.5,False,Sangli,Trader,High
22,54.8,159.5,3.6,False,Kolhapur,Student,Low
25,68.2,170.3,6.6,False,Solapur,Clerk,Low
34,72.3,168.4,10.4,True,Latur,Engineer,Medium
84,85.0,174.2,17.0,False,Dhule,Doctor,High
29,61.8,163.2,5.8,False,Jalgaon,Teacher,Low
55,78.3,169.1,13.6,True,Akola,Lawyer,High
52,91.2,177.0,22.3,True,Amravati,Business,High
31,69.5,166.1,9.3,False,Yavatmal,Designer,Medium
44,84.5,173.6,16.9,True,Bidar,Manager,High
27,64.5,171.2,5.4,False,Gulbarga,Engineer,Low
36,75.0,169.3,11.6,False,Belgaum,Teacher,Medium
48,88.5,175.2,18.4,True,Dharwad,Trader,High
23,56.3,160.8,3.9,False,Hospet,Student,Low
35,73.5,167.9,10.9,True,Raichur,Engineer,Medium
41,80.8,170.4,15.0,False,Shimoga,Manager,Medium
50,86.9,174.1,19.9,True,Karwar,Business,High
28,67.3,168.6,6.3,False,Udupi,Clerk,Low
39,79.9,170.9,14.2,True,Hassan,Lawyer,High
53,91.8,176.9,22.4,False,Tumkur,Trader,High
30,70.8,166.3,8.8,False,Kolar,Designer,Low
47,87.2,173.4,17.8,True,Chitradurga,Manager,High
24,59.2,161.1,4.1,False,Davanagere,Student,Low
37,77.5,169.7,12.8,False,Ballari,Engineer,Medium
49,89.9,175.4,19.2,True,Bijapur,Business,High
33,72.0,168.3,9.6,False,Bagalkot,Teacher,Medium
40,83.3,170.8,15.2,True,Gadag,Manager,High
51,90.7,176.2,21.6,False,Haveri,Trader,High
26,63.5,164.2,5.9,False,Ahmedabad,Engineer,Low
47,78.1,170.4,13.2,True,Mumbai,Manager,High
42,81.7,172.0,15.6,False,Delhi,Lawyer,Medium
31,70.2,167.5,9.1,False,Pune,Teacher,Medium
55,92.3,176.4,23.5,True,Bangalore,Business,High
28,65.8,168.1,6.3,False,Chennai,Designer,Low
39,80.4,171.2,14.3,True,Kolkata,Doctor,High
24,58.9,162.5,4.5,False,Jaipur,Student,Low
46,86.2,174.3,18.1,True,Hyderabad,Trader,High
34,73.6,168.9,10.7,False,Surat,Engineer,Medium
52,90.7,175.8,21.3,True,Indore,Business,High
29,67.2,166.3,7.2,False,Nagpur,Clerk,Low
41,82.0,172.6,15.9,True,Bhopal,Manager,High
33,71.5,168.0,9.9,False,Lucknow,Teacher,Medium
48,88.4,174.9,18.7,True,Kanpur,Doctor,High
27,64.0,165.7,6.0,False,Patna,Designer,Low
44,83.5,173.2,16.5,True,Agra,Lawyer,High
53,91.2,176.7,22.1,False,Varanasi,Trader,High
30,69.8,167.1,8.5,False,Amritsar,Engineer,Medium
36,75.7,169.6,11.4,True,Ranchi,Manager,High
25,60.5,163.8,5.2,False,Guwahati,Student,Low
47,87.6,175.1,18.9,True,Chandigarh,Business,High
32,70.9,167.8,9.4,False,Noida,Engineer,Medium
50,89.0,175.6,20.5,True,Ghaziabad,Trader,High
38,77.5,169.3,13.0,False,Faridabad,Teacher,Medium
43,82.9,172.9,16.0,True,Meerut,Manager,High
29,66.8,166.9,7.5,False,Raipur,Clerk,Low
51,90.2,176.3,21.7,True,Jodhpur,Business,High
35,74.1,168.7,10.3,False,Udaipur,Engineer,Medium
23,55.7,160.4,3.9,False,Dehradun,Student,Low
40,81.5,171.5,14.6,True,Shimla,Lawyer,High
28,65.1,167.2,6.7,False,Mysore,Designer,Low
45,84.8,173.9,17.8,True,Mangalore,Doctor,High
31,70.4,166.8,9.0,False,Coimbatore,Teacher,Medium
52,91.5,177.5,22.8,True,Madurai,Business,High
37,76.9,169.9,12.6,False,Tiruchirappalli,Engineer,Medium
49,88.7,175.0,19.4,True,Vijayawada,Trader,High
26,63.9,164.5,5.7,False,Visakhapatnam,Clerk,Low
42,82.3,172.3,15.4,True,Bhubaneswar,Manager,High
34,73.9,168.6,10.6,False,Cuttack,Teacher,Medium
55,92.8,176.9,23.2,True,Srinagar,Business,High
30,69.3,167.0,8.6,False,Jammu,Engineer,Medium
38,77.9,169.4,13.3,True,Panaji,Lawyer,High
47,87.9,175.2,18.6,True,Imphal,Trader,High
24,58.2,162.1,4.3,False,Aizawl,Student,Low
36,75.3,169.0,11.1,False,Kohima,Engineer,Medium
50,89.5,175.7,20.2,True,Itanagar,Business,High
29,67.0,166.5,7.0,False,Gangtok,Clerk,Low
41,81.9,172.1,15.2,True,Shillong,Manager,High
33,71.9,168.4,9.8,False,Silchar,Teacher,Medium
48,88.2,174.7,18.3,True,Dibrugarh,Trader,High
27,64.3,165.9,6.1,False,Tinsukia,Designer,Low
44,83.8,173.3,16.7,True,Tezpur,Lawyer,High
52,91.0,176.6,22.0,True,Nanded,Business,High
31,70.1,167.6,9.3,False,Aurangabad,Engineer,Medium
39,79.6,170.6,14.4,True,Sangli,Manager,High
25,60.8,163.5,5.4,False,Kolhapur,Student,Low
46,85.9,174.1,17.6,True,Solapur,Trader,High
34,73.2,168.3,10.1,False,Latur,Teacher,Medium
53,91.6,176.8,22.6,True,Dhule,Business,High
28,65.6,167.4,6.5,False,Jalgaon,Clerk,Low
40,81.8,171.8,14.9,True,Akola,Manager,High
37,76.5,169.7,12.4,False,Amravati,Engineer,Medium
49,88.9,175.3,19.1,True,Yavatmal,Trader,High
32,71.0,168.1,9.6,False,Bidar,Teacher,Medium
45,84.5,173.7,17.3,True,Gulbarga,Lawyer,High
29,66.5,166.2,7.3,False,Belgaum,Designer,Low
51,90.4,176.1,21.9,True,Dharwad,Business,High